corpus,file,method,original_bytes,compressed_bytes,ratio,bits_per_byte,entropy_bits_per_byte,gap_to_h0_bits_per_byte,seconds,throughput_mib_s
silesia,nci,zlib_9,33553445,2988001,0.08905198855139912,0.712415908411193,2.4292555992818246,-1.7168396908706316,2.225977599970065,14.375283346912399
silesia,nci,bzip2_9,33553445,1812734,0.05402527221869468,0.43220217774955744,2.4292555992818246,-1.997053421532267,3.9820290999487042,8.035867624338032
silesia,nci,lzma_9,33553445,1738884,0.051824305969178426,0.4145944477534274,2.4292555992818246,-2.014661151528397,8.752325000008568,3.6560638142914463
silesia,nci,brotli_11,33553445,1616326,0.04817168550054994,0.3853734840043995,2.4292555992818246,-2.043882115277425,57.619266099995,0.55535345882256
silesia,nci,zstd_19,33553445,1664984,0.04962184955970989,0.39697479647767914,2.4292555992818246,-2.0322808028041455,17.48944409994874,1.8296212584334508
silesia,nci,ppmd_6,33553445,2301808,0.06860124198871383,0.5488099359097106,2.4292555992818246,-1.880445663372114,3.055141600081697,10.473838175812874
silesia,ooffice,raw,6152192,6152192,1.0,8.0,6.639858949477124,1.3601410505228761,9.909993968904018e-05,59204.75348835024
silesia,ooffice,rle,6152192,11007450,1.789191559691245,14.31353247752996,6.639858949477124,7.673673528052837,1.1109375999076292,5.281293477228457
silesia,ooffice,zlib_9,6152192,3092926,0.5027356103320573,4.021884882656458,6.639858949477124,-2.6179740668206657,0.5543338999850675,10.584211970723869
silesia,ooffice,bzip2_9,6152192,2862526,0.46528554375416115,3.722284350033289,6.639858949477124,-2.9175745994438347,0.42345239990390837,13.855601010482896
silesia,ooffice,lzma_9,6152192,2426816,0.39446363182423433,3.1557090545938746,6.639858949477124,-3.484149894883249,2.483215600019321,2.362737854882335
silesia,ooffice,brotli_11,6152192,2479758,0.4030690199525632,3.224552159620506,6.639858949477124,-3.415306789856618,15.47923689999152,0.3790359652679787
silesia,ooffice,zstd_19,6152192,2597389,0.4221891969561418,3.3775135756491346,6.639858949477124,-3.2623453738279893,2.1753467000089586,2.697127542922624
silesia,ooffice,ppmd_6,6152192,2568240,0.41745121088548603,3.3396096870838883,6.639858949477124,-3.3002492623932356,1.6294696000404656,3.6006731882904086
silesia,osdb,raw,10085684,10085684,1.0,8.0,6.593520633853192,1.406479366146808,0.0001556000206619501,61815.27324527867
silesia,osdb,rle,10085684,18983040,1.8821767566780796,15.057414053424637,6.593520633853192,8.463893419571445,1.9393890000646934,4.959529931266292
silesia,osdb,zlib_9,10085684,3673177,0.3641971134530886,2.9135769076247087,6.593520633853192,-3.6799437262284833,0.44931040005758405,21.40715592818849
silesia,osdb,bzip2_9,10085684,2802792,0.27789805827745545,2.2231844662196436,6.593520633853192,-4.370336167633548,0.6850624000653625,14.040265227330746
silesia,osdb,lzma_9,10085684,2849908,0.2825696303790601,2.2605570430324806,6.593520633853192,-4.332963590820711,4.6236435999162495,2.0802766446712453
silesia,osdb,brotli_11,10085684,2825123,0.28011218673914434,2.2408974939131547,6.593520633853192,-4.352623139940038,16.96477339998819,0.5669664762039291
silesia,osdb,zstd_19,10085684,3100173,0.3073835150893088,2.4590681207144702,6.593520633853192,-4.134452513138722,4.4567460000980645,2.1581794865531516
silesia,osdb,ppmd_6,10085684,2455205,0.24343465450632798,1.9474772360506238,6.593520633853192,-4.646043397802568,1.9056522001046687,5.0473311938354515
silesia,reymont,raw,6627202,6627202,1.0,8.0,4.8421685530417635,3.1578314469582365,0.00013760000001639128,45931.63035089575
silesia,reymont,rle,6627202,12811700,1.9331989578709083,15.465591662967267,4.8421685530417635,10.623423109925504,1.3556975999381393,4.6619484590992295
silesia,reymont,zlib_9,6627202,1823196,0.27510795657051046,2.2008636525640837,4.8421685530417635,-2.64130490047768,1.4364963999250904,4.399727237301614
silesia,reymont,bzip2_9,6627202,1246230,0.18804768588614018,1.5043814870891214,4.8421685530417635,-3.337787065952642,0.44773989997338504,14.115767519070388
silesia,reymont,lzma_9,6627202,1317152,0.1987493364469651,1.5899946915757208,4.8421685530417635,-3.2521738614660425,4.0352614999283105,1.5662410818105383
silesia,reymont,brotli_11,6627202,1335805,0.20156394810358882,1.6125115848287106,4.8421685530417635,-3.229656968213053,11.533760799909942,0.5479732453863169
silesia,reymont,zstd_19,6627202,1346161,0.20312659852529016,1.6250127882023213,4.8421685530417635,-3.2171557648394424,3.8218950999435037,1.6536802219217266
silesia,reymont,ppmd_6,6627202,1141522,0.17224795622647385,1.3779836498117908,4.8421685530417635,-3.464184903229973,0.8425553999841213,7.501218717671553
silesia,samba,raw,21606400,21606400,1.0,8.0,6.094505845097855,1.9054941549021454,6.210000719875097e-05,331811.05251811375
silesia,samba,rle,21606400,37455984,1.7335596860189573,13.868477488151658,6.094505845097855,7.7739716430538035,3.861925399978645,5.335542926363606
silesia,samba,zlib_9,21606400,5402710,0.2500513736670616,2.0004109893364928,6.094505845097855,-4.094094855761362,1.2096079000039026,17.034833147116117
silesia,samba,bzip2_9,21606400,4549759,0.21057459826718009,1.6845967861374407,6.094505845097855,-4.409909058960414,1.4151742999674752,14.560375178148425
silesia,samba,lzma_9,21606400,3763616,0.17418986966824646,1.3935189573459716,6.094505845097855,-4.700986887751883,6.774062899989076,3.041818337711808
silesia,samba,brotli_11,21606400,3823126,0.17694414617890994,1.4155531694312795,6.094505845097855,-4.678952675666575,32.78796320001129,0.628446135074133
silesia,samba,zstd_19,21606400,3899439,0.1804761089306872,1.4438088714454975,6.094505845097855,-4.650696973652357,8.136766899959184,2.5323901991223763
silesia,samba,ppmd_6,21606400,4195749,0.19419010108116114,1.553520808649289,6.094505845097855,-4.540985036448566,3.302538000047207,6.239282863575063
silesia,sao,raw,7251944,7251944,1.0,8.0,7.525199903781792,0.47480009621820773,0.00017680006567388773,39117.591446901
silesia,sao,rle,7251944,14344670,1.978044783578031,15.824358268624248,7.525199903781792,8.299158364842455,1.467222600011155,4.713662900751274
silesia,sao,zlib_9,7251944,5325920,0.7344127312621278,5.875301850097022,7.525199903781792,-1.6498980536847698,0.5559149999171495,12.440737770787129
silesia,sao,bzip2_9,7251944,4940524,0.681268912170309,5.450151297362472,7.525199903781792,-2.07504860641932,0.6048050000099465,11.435078639731264
silesia,sao,lzma_9,7251944,4415072,0.60881220263146,4.87049762105168,7.525199903781792,-2.6547022827301126,3.2069074000464752,2.1565925903305403
silesia,sao,brotli_11,7251944,4589967,0.6329291842297734,5.063433473838187,7.525199903781792,-2.461766429943605,15.941226599970832,0.43384319854214104
silesia,sao,zstd_19,7251944,5000572,0.6895491746764729,5.516393397411783,7.525199903781792,-2.008806506370009,2.5738206000532955,2.6870531445249908
silesia,sao,ppmd_6,7251944,4770617,0.6578397461425516,5.262717969140413,7.525199903781792,-2.2624819346413796,2.7209563000360504,2.5417507575277027
