corpus,file,block_size,method,original_bytes,encoded_bytes,ratio
silesia,xml,32,raw,5345280,5345280,1.0
canterbury,alice29.txt,64,fisa,152089,152098,1.0000591758772823
canterbury,alice29.txt,64,zero_block_bitmap,152089,152399,1.0020382802175043
canterbury,alice29.txt,64,zero_trim,152089,156853,1.0313237643748068
canterbury,alice29.txt,64,raw,152089,152089,1.0
canterbury,asyoulik.txt,64,fisa,125179,125188,1.000071897043434
canterbury,asyoulik.txt,64,zero_block_bitmap,125179,125436,1.0020530600180542
canterbury,asyoulik.txt,64,zero_trim,125179,129101,1.0313311338163749
canterbury,asyoulik.txt,64,raw,125179,125179,1.0
canterbury,cp.html,64,fisa,24603,24612,1.000365809047677
canterbury,cp.html,64,zero_block_bitmap,24603,24663,1.002438726984514
canterbury,cp.html,64,zero_trim,24603,25383,1.031703450798683
canterbury,cp.html,64,raw,24603,24603,1.0
canterbury,fields.c,64,fisa,11150,11158,1.0007174887892376
canterbury,fields.c,64,zero_block_bitmap,11150,11182,1.0028699551569507
canterbury,fields.c,64,zero_trim,11150,11509,1.0321973094170405
canterbury,fields.c,64,raw,11150,11150,1.0
canterbury,grammar.lsp,64,fisa,3721,3729,1.002149959688256
canterbury,grammar.lsp,64,zero_block_bitmap,3721,3738,1.0045686643375438
canterbury,grammar.lsp,64,zero_trim,3721,3847,1.0338618650900295
canterbury,grammar.lsp,64,raw,3721,3721,1.0
canterbury,kennedy.xls,64,fisa,1029744,1029753,1.0000087400363586
canterbury,kennedy.xls,64,zero_block_bitmap,1029744,1031768,1.0019655370655232
canterbury,kennedy.xls,64,zero_trim,1029744,1044984,1.0147997949004801
canterbury,kennedy.xls,64,raw,1029744,1029744,1.0
canterbury,lcet10.txt,64,fisa,426754,426763,1.0000210894332566
canterbury,lcet10.txt,64,zero_block_bitmap,426754,427600,1.0019824067261232
canterbury,lcet10.txt,64,zero_trim,426754,440102,1.0312779727899446
canterbury,lcet10.txt,64,raw,426754,426754,1.0
canterbury,plrabn12.txt,64,fisa,481861,481870,1.0000186775854447
canterbury,plrabn12.txt,64,zero_block_bitmap,481861,482815,1.0019798240571451
canterbury,plrabn12.txt,64,zero_trim,481861,496931,1.0312745791836235
canterbury,plrabn12.txt,64,raw,481861,481861,1.0
canterbury,ptt5,64,fisa,513216,331641,0.6462015993265994
canterbury,ptt5,64,zero_block_bitmap,513216,340215,0.6629080153385709
canterbury,ptt5,64,zero_trim,513216,162256,0.3161553809701958
canterbury,ptt5,64,raw,513216,513216,1.0
canterbury,sum,64,fisa,38240,38249,1.0002353556485355
canterbury,sum,64,zero_block_bitmap,38240,38198,0.9989016736401674
canterbury,sum,64,zero_trim,38240,38088,0.9960251046025105
canterbury,sum,64,raw,38240,38240,1.0
canterbury,xargs.1,64,fisa,4227,4235,1.001892595221197
canterbury,xargs.1,64,zero_block_bitmap,4227,4245,1.0042583392476934
canterbury,xargs.1,64,zero_trim,4227,4369,1.033593565176248
canterbury,xargs.1,64,raw,4227,4227,1.0
silesia,dickens,64,fisa,10192446,10192456,1.0000009811187618
silesia,dickens,64,zero_block_bitmap,10192446,10212369,1.001954682909284
silesia,dickens,64,zero_trim,10192446,10510972,1.0312511834745066
silesia,dickens,64,raw,10192446,10192446,1.0
silesia,mozilla,64,fisa,51220480,51220490,1.0000001952344062
silesia,mozilla,64,zero_block_bitmap,51220480,49557271,0.9675284378436125
silesia,mozilla,64,zero_trim,51220480,49361376,0.963703893442623
silesia,mozilla,64,raw,51220480,51220480,1.0
silesia,mr,64,fisa,9970564,7957015,0.7980506418694068
silesia,mr,64,zero_block_bitmap,9970564,7430241,0.7452177228890964
silesia,mr,64,zero_trim,9970564,7423745,0.7445662050812772
silesia,mr,64,raw,9970564,9970564,1.0
silesia,nci,64,fisa,33553445,33553455,1.0000002980319904
silesia,nci,64,zero_block_bitmap,33553445,33618995,1.001953599697438
silesia,nci,64,zero_trim,33553445,34602003,1.0312503827848378
silesia,nci,64,raw,33553445,33553445,1.0
silesia,ooffice,64,fisa,6152192,6152202,1.0000016254369175
silesia,ooffice,64,zero_block_bitmap,6152192,6131838,0.9966915856982357
silesia,ooffice,64,zero_trim,6152192,6259174,1.017389249230193
silesia,ooffice,64,raw,6152192,6152192,1.0
silesia,osdb,64,fisa,10085684,10085694,1.0000009915043937
silesia,osdb,64,zero_block_bitmap,10085684,10105398,1.0019546517618438
silesia,osdb,64,zero_trim,10085684,10367370,1.0279292906658586
silesia,osdb,64,raw,10085684,10085684,1.0
silesia,reymont,64,fisa,6627202,6627212,1.0000015089324272
silesia,reymont,64,zero_block_bitmap,6627202,6640160,1.0019552746392821
silesia,reymont,64,zero_trim,6627202,6834311,1.031251348608357
silesia,reymont,64,raw,6627202,6627202,1.0
silesia,samba,64,fisa,21606400,21606410,1.0000004628258294
silesia,samba,64,zero_block_bitmap,21606400,20847207,0.9648625870112559
silesia,samba,64,zero_trim,21606400,21250286,0.9835181242594787
silesia,samba,64,raw,21606400,21606400,1.0
silesia,sao,64,fisa,7251944,7251954,1.0000013789405986
silesia,sao,64,zero_block_bitmap,7251944,7266122,1.0019550619806221
silesia,sao,64,zero_trim,7251944,7474718,1.0307192112901038
silesia,sao,64,raw,7251944,7251944,1.0
silesia,webster,64,fisa,41458703,41458713,1.0000002412038795
silesia,webster,64,zero_block_bitmap,41458703,41539693,1.0019535102195551
silesia,webster,64,zero_trim,41458703,42754301,1.0312503263789994
silesia,webster,64,raw,41458703,41458703,1.0
silesia,x-ray,64,fisa,8474240,8474250,1.0000011800468243
silesia,x-ray,64,zero_block_bitmap,8474240,8490807,1.0019549835737482
silesia,x-ray,64,zero_trim,8474240,8738446,1.0311775451249905
silesia,x-ray,64,raw,8474240,8474240,1.0
silesia,xml,64,fisa,5345280,5345290,1.000001870809387
silesia,xml,64,zero_block_bitmap,5345280,5339030,0.9988307441331418
silesia,xml,64,zero_trim,5345280,5491992,1.027447018678161
silesia,xml,64,raw,5345280,5345280,1.0
canterbury,alice29.txt,128,fisa,152089,152098,1.0000591758772823
canterbury,alice29.txt,128,zero_block_bitmap,152089,152251,1.001065165791083
canterbury,alice29.txt,128,zero_trim,152089,155666,1.0235191236710084
canterbury,alice29.txt,128,raw,152089,152089,1.0
canterbury,asyoulik.txt,128,fisa,125179,125188,1.000071897043434
canterbury,asyoulik.txt,128,zero_block_bitmap,125179,125314,1.001078455651507
canterbury,asyoulik.txt,128,zero_trim,125179,128123,1.023518321763235
canterbury,asyoulik.txt,128,raw,125179,125179,1.0
canterbury,cp.html,128,fisa,24603,24612,1.000365809047677
canterbury,cp.html,128,zero_block_bitmap,24603,24640,1.0015038816404505
canterbury,cp.html,128,zero_trim,24603,25192,1.02394016989798
canterbury,cp.html,128,raw,24603,24603,1.0
canterbury,fields.c,128,fisa,11150,11158,1.0007174887892376
canterbury,fields.c,128,zero_block_bitmap,11150,11171,1.001883408071749
canterbury,fields.c,128,zero_trim,11150,11422,1.0243946188340807
canterbury,fields.c,128,raw,11150,11150,1.0
canterbury,grammar.lsp,128,fisa,3721,3729,1.002149959688256
canterbury,grammar.lsp,128,zero_block_bitmap,3721,3735,1.0037624294544478
canterbury,grammar.lsp,128,zero_trim,3721,3819,1.026337006181134
canterbury,grammar.lsp,128,raw,3721,3721,1.0
canterbury,kennedy.xls,128,fisa,1029744,1029753,1.0000087400363586
canterbury,kennedy.xls,128,zero_block_bitmap,1029744,1030763,1.0009895663388182
canterbury,kennedy.xls,128,zero_trim,1029744,1039709,1.0096771624792182
canterbury,kennedy.xls,128,raw,1029744,1029744,1.0
canterbury,lcet10.txt,128,fisa,426754,426763,1.0000210894332566
canterbury,lcet10.txt,128,zero_block_bitmap,426754,427184,1.0010076062555946
canterbury,lcet10.txt,128,zero_trim,426754,436769,1.0234678526739058
canterbury,lcet10.txt,128,raw,426754,426754,1.0
canterbury,plrabn12.txt,128,fisa,481861,481870,1.0000186775854447
canterbury,plrabn12.txt,128,zero_block_bitmap,481861,482345,1.0010044390394741
canterbury,plrabn12.txt,128,zero_trim,481861,493166,1.0234611226058967
canterbury,plrabn12.txt,128,raw,481861,481861,1.0
canterbury,ptt5,128,fisa,513216,398592,0.77665544332211
canterbury,ptt5,128,zero_block_bitmap,513216,408579,0.7961150860456416
canterbury,ptt5,128,zero_trim,513216,221126,0.4308634181319366
canterbury,ptt5,128,raw,513216,513216,1.0
canterbury,sum,128,fisa,38240,38249,1.0002353556485355
canterbury,sum,128,zero_block_bitmap,38240,38162,0.9979602510460251
canterbury,sum,128,zero_trim,38240,38292,1.0013598326359832
canterbury,sum,128,raw,38240,38240,1.0
canterbury,xargs.1,128,fisa,4227,4235,1.001892595221197
canterbury,xargs.1,128,zero_block_bitmap,4227,4242,1.0035486160397444
canterbury,xargs.1,128,zero_trim,4227,4337,1.0260231842914596
canterbury,xargs.1,128,raw,4227,4227,1.0
silesia,dickens,128,fisa,10192446,10192456,1.0000009811187618
silesia,dickens,128,zero_block_bitmap,10192446,10202415,1.0009780772937134
silesia,dickens,128,zero_trim,10192446,10431345,1.0234388291093228
silesia,dickens,128,raw,10192446,10192446,1.0
silesia,mozilla,128,fisa,51220480,51220490,1.0000001952344062
silesia,mozilla,128,zero_block_bitmap,51220480,49732724,0.9709538840713714
silesia,mozilla,128,zero_trim,51220480,49639162,0.9691272319197322
silesia,mozilla,128,raw,51220480,51220480,1.0
silesia,mr,128,fisa,9970564,7850724,0.787390161679921
silesia,mr,128,zero_block_bitmap,9970564,7453592,0.7475597167823205
silesia,mr,128,zero_trim,9970564,7344824,0.736650805310512
silesia,mr,128,raw,9970564,9970564,1.0
silesia,nci,128,fisa,33553445,33553455,1.0000002980319904
silesia,nci,128,zero_block_bitmap,33553445,33586229,1.0009770680775103
silesia,nci,128,zero_trim,33553445,34339868,1.023437921203024
silesia,nci,128,raw,33553445,33553445,1.0
silesia,ooffice,128,fisa,6152192,6152202,1.0000016254369175
silesia,ooffice,128,zero_block_bitmap,6152192,6126599,0.9958400192971871
silesia,ooffice,128,zero_trim,6152192,6228001,1.0123222747274467
silesia,ooffice,128,raw,6152192,6152192,1.0
silesia,osdb,128,fisa,10085684,10085694,1.0000009915043937
silesia,osdb,128,zero_block_bitmap,10085684,10095549,1.000978119084437
silesia,osdb,128,zero_trim,10085684,10294455,1.0206997363788117
silesia,osdb,128,raw,10085684,10085684,1.0
silesia,reymont,128,fisa,6627202,6627212,1.0000015089324272
silesia,reymont,128,zero_block_bitmap,6627202,6633689,1.000978844465583
silesia,reymont,128,zero_trim,6627202,6782536,1.023438850966064
silesia,reymont,128,raw,6627202,6627202,1.0
silesia,samba,128,fisa,21606400,21606410,1.0000004628258294
silesia,samba,128,zero_block_bitmap,21606400,21084284,0.9758351229265403
silesia,samba,128,zero_trim,21606400,21171036,0.9798502295616114
silesia,samba,128,raw,21606400,21606400,1.0
silesia,sao,128,fisa,7251944,7251954,1.0000013789405986
