campaign,corpus,method,files,mean_ratio,median_ratio,weighted_ratio,ci95_mean_low,ci95_mean_high,mean_throughput_mib_s
benchmark,synthetic,fipb_raw_fallback_bs128,7,0.8997381718827429,1.03924560546875,0.8994455997483574,0.6207188197544643,1.0392500904250144,0.3830095092214481
benchmark,synthetic,fipb_raw_fallback_bs16,7,1.0805253460001172,1.1876678466796875,1.080300660562002,0.8662392752511161,1.187668916069548,0.07166448956149171
benchmark,synthetic,fipb_raw_fallback_bs256,7,0.8785355800308385,1.01971435546875,0.8782394624633021,0.5961652483258929,1.0197271362978726,0.7526075371553543
benchmark,synthetic,fipb_raw_fallback_bs32,7,0.9689182031429743,1.0939178466796875,0.9686560708793513,0.7189178466796875,1.093918916069548,0.11443353305312327
benchmark,synthetic,fipb_raw_fallback_bs512,7,0.8679320718721241,1.00994873046875,0.8676342094226199,0.5838884626116071,1.009959022536015,1.3254252603084733
benchmark,synthetic,fipb_raw_fallback_bs64,7,0.9131146317144029,1.0470428466796875,0.912833776038026,0.6452571323939732,1.047043916069548,0.20187809264972362
benchmark,synthetic,lzma_9,7,0.18569286507924218,0.0030971258671952,0.18607577240318748,0.002777309382618372,0.47092982700892855,1.7775969132852756
benchmark,synthetic,ppmd_6,7,0.18759014200391233,0.0014091922695738,0.1879805675940165,0.0012163434709821428,0.4802943638392857,7.032542788775375
benchmark,synthetic,raw,7,1.0,1.0,1.0,1.0,1.0,29223.999941259393
benchmark,synthetic,rle,7,1.3497532435825892,1.9375,1.348520725569691,0.6486249651227679,1.9189322335379464,5.072193863391915
benchmark,synthetic,zlib_9,7,0.18838933485350595,0.0041501486620416,0.18877568852229834,0.002783604524264872,0.47343662806919645,124.46915025348805
benchmark,synthetic,zstd_19,7,0.17975740785151825,0.0011149653121902,0.18013202502446526,0.0008809619089639343,0.46531241280691965,69.19078052428127
benchmark_canterbury,canterbury,brotli_11,11,0.25713804416134173,0.2802097305206682,0.17456410738071657,0.19630465280826748,0.3072580101539879,0.43677863355873275
benchmark_canterbury,canterbury,bzip2_9,11,0.27816241241625916,0.3021140951436202,0.19308136092990424,0.22282896832020552,0.328188456139484,10.382752891050227
