corpus,file,block_size,original_bytes,encoded_bytes,ratio,encode_seconds,decode_seconds,encode_mib_s,decode_mib_s,alphabet_size,symbol_width,global_metadata_bytes,k_star,full_blocks,k_star_blocks,k_star_fraction,shared_blocks,shared_block_fraction
canterbury,sum,128,38240,38249,1.000235356,0.102674,0.000031,0.355186,1195.688717,24,5,30,190,298,1,0.003355705,1,0.003344482
canterbury,xargs.1,128,4227,4235,1.001892595,0.063808,0.000012,0.063177,330.424700,21,5,26,190,33,0,0.000000000,0,0.000000000
silesia,dickens,128,10192446,10192456,1.000000981,3.362201,0.002974,2.891045,3268.417610,37,6,44,158,79628,0,0.000000000,0,0.000000000
silesia,mozilla,128,51220480,51220490,1.000000195,16.075253,0.024252,3.038687,2014.203444,39,6,46,158,400160,12459,0.031135046,12489,0.031210016
silesia,mr,128,9970564,7850724,0.787390162,2.389912,0.022250,3.978669,427.355991,36,6,43,158,77895,19780,0.253931575,19782,0.253953990
silesia,nci,128,33553445,33553455,1.000000298,10.712805,0.006410,2.986992,4992.364379,38,6,45,158,262136,0,0.000000000,0,0.000000000
silesia,ooffice,128,6152192,6152202,1.000001625,2.212598,0.001558,2.651718,3765.120644,34,6,41,158,48064,251,0.005222204,251,0.005222204
silesia,osdb,128,10085684,10085694,1.000000992,3.350483,0.002989,2.870768,3218.059418,35,6,42,158,78794,0,0.000000000,0,0.000000000
silesia,reymont,128,6627202,6627212,1.000001509,2.258548,0.001568,2.798343,4030.991987,34,6,41,158,51775,0,0.000000000,0,0.000000000
silesia,samba,128,21606400,21606410,1.000000463,6.510856,0.004594,3.164787,4485.397756,35,6,42,158,168800,4247,0.025159953,4247,0.025159953
silesia,sao,128,7251944,7251954,1.000001379,2.561804,0.001968,2.699657,3514.402529,34,6,41,158,56655,0,0.000000000,0,0.000000000
silesia,webster,128,41458703,41458713,1.000000241,13.717397,0.012624,2.882333,3131.978790,38,6,45,158,323896,0,0.000000000,0,0.000000000
silesia,x-ray,128,8474240,8474250,1.000001180,2.904732,0.002051,2.782242,3940.161396,35,6,42,158,66205,0,0.000000000,0,0.000000000
silesia,xml,128,5345280,5345290,1.000001871,1.704650,0.002802,2.990442,1819.616723,35,6,42,158,41760,105,0.002514368,105,0.002514368
canterbury,alice29.txt,256,152089,152098,1.000059176,0.173753,0.000050,0.834770,2924.261555,28,5,34,392,594,0,0.000000000,0,0.000000000
canterbury,asyoulik.txt,256,125179,125188,1.000071897,0.160610,0.000025,0.743293,4813.709567,25,5,31,392,488,0,0.000000000,0,0.000000000
canterbury,cp.html,256,24603,24612,1.000365809,0.087873,0.000037,0.267012,627.359604,25,5,30,392,96,0,0.000000000,0,0.000000000
canterbury,fields.c,256,11150,11158,1.000717489,0.070816,0.000015,0.150157,733.342664,20,5,25,392,43,0,0.000000000,0,0.000000000
canterbury,grammar.lsp,256,3721,3729,1.002149960,0.061213,0.000013,0.057972,277.236104,20,5,25,390,14,0,0.000000000,0,0.000000000
canterbury,kennedy.xls,256,1029744,1029753,1.000008740,0.517333,0.000491,1.898275,1999.675026,29,5,35,392,4022,0,0.000000000,0,0.000000000
canterbury,lcet10.txt,256,426754,426763,1.000021089,0.269890,0.000117,1.507966,3481.474159,29,5,35,392,1667,0,0.000000000,0,0.000000000
canterbury,plrabn12.txt,256,481861,481870,1.000018678,0.381755,0.000315,1.203752,1460.242961,28,5,34,392,1882,0,0.000000000,0,0.000000000
canterbury,ptt5,256,513216,432318,0.842370464,0.279633,0.012610,1.750300,38.814944,29,5,35,392,2004,405,0.202095808,411,0.204987531
canterbury,sum,256,38240,38249,1.000235356,0.116419,0.000049,0.313252,738.228864,23,5,29,392,149,1,0.006711409,1,0.006666667
canterbury,xargs.1,256,4227,4235,1.001892595,0.070105,0.000018,0.057502,223.954519,21,5,26,390,16,0,0.000000000,0,0.000000000
silesia,dickens,256,10192446,10192456,1.000000981,4.096043,0.001831,2.373089,5308.724179,34,6,41,326,39814,0,0.000000000,0,0.000000000
silesia,mozilla,256,51220480,50900878,0.993760269,18.364560,0.040812,2.659887,1196.897382,41,6,48,326,200080,5301,0.026494402,5309,0.026534386
silesia,mr,256,9970564,7708787,0.773154558,2.851789,0.020599,3.334283,461.606129,34,6,41,326,38947,9649,0.247746938,9652,0.247817603
silesia,nci,256,33553445,33553455,1.000000298,12.296764,0.007955,2.602234,4022.610087,39,6,46,326,131068,0,0.000000000,0,0.000000000
silesia,ooffice,256,6152192,6152202,1.000001625,2.373115,0.001869,2.472357,3139.380117,34,6,41,326,24032,122,0.005076565,122,0.005076565
silesia,osdb,256,10085684,10085694,1.000000992,4.179940,0.001807,2.301100,5322.887545,35,6,42,326,39397,0,0.000000000,0,0.000000000
silesia,reymont,256,6627202,6627212,1.000001509,2.843670,0.000901,2.222548,7016.978280,34,6,41,326,25887,0,0.000000000,0,0.000000000
silesia,samba,256,21606400,21606410,1.000000463,8.148533,0.007814,2.528733,2636.892460,36,6,43,326,84400,927,0.010983412,927,0.010983412
silesia,sao,256,7251944,7251954,1.000001379,2.804999,0.004144,2.465595,1668.917166,35,6,42,326,28327,0,0.000000000,0,0.000000000
silesia,webster,256,41458703,41458713,1.000000241,16.081313,0.006970,2.458636,5672.692613,39,6,46,326,161948,0,0.000000000,0,0.000000000
silesia,x-ray,256,8474240,8474250,1.000001180,3.295836,0.001452,2.452084,5566.268365,39,6,46,326,33102,0,0.000000000,0,0.000000000
silesia,xml,256,5345280,5345290,1.000001871,2.468650,0.001317,2.064957,3869.776247,33,6,40,326,20880,38,0.001819923,38,0.001819923
